step,epoch,learning_rate,loss,grad_norm
20,0.1864801864801865,1.9e-05,7.100399017333984,1.078125
40,0.372960372960373,3.9000000000000006e-05,6.380327987670898,0.3984375
60,0.5594405594405595,5.9e-05,5.977731323242187,0.51171875
80,0.745920745920746,7.900000000000001e-05,4.983860778808594,0.56640625
100,0.9324009324009324,9.900000000000001e-05,4.659588241577149,0.455078125
120,1.1118881118881119,9.151785714285715e-05,3.5918792724609374,0.51171875
140,1.2983682983682985,8.258928571428572e-05,3.709225082397461,0.64453125
160,1.4848484848484849,7.36607142857143e-05,3.1042154312133787,0.56640625
180,1.6713286713286712,6.473214285714287e-05,3.650076675415039,1.328125
200,1.8578088578088578,5.5803571428571434e-05,3.3178054809570314,0.6796875
220,2.0372960372960374,4.6875e-05,2.661275100708008,0.81640625
240,2.2237762237762237,3.794642857142857e-05,2.172977256774902,0.51953125
260,2.41025641025641,2.9017857142857146e-05,2.661884307861328,0.8046875
280,2.596736596736597,2.0089285714285717e-05,2.7513149261474608,0.734375
300,2.7832167832167833,1.1160714285714287e-05,2.8368551254272463,0.7265625
320,2.9696969696969697,2.2321428571428573e-06,2.5874353408813477,0.6875
